epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,1245.21,0.74397,1.3917,0.8383,1.1983,0.67343,0.65306,0.66541,0.34418,0.65238,0.63265,0.63178,0.33691,1.5099,2.4049,1.48528,1.89321,0.0005546,0.0005546,0.0005546
75,1260,0.71947,1.22156,0.82666,1.16691,0.65935,0.59255,0.67409,0.33633,0.63738,0.574,0.64695,0.33316,1.51616,2.40609,1.54541,1.94976,0.0005348,0.0005348,0.0005348
76,1275.25,0.71322,1.30776,0.8541,1.19803,0.5912,0.69388,0.66328,0.35322,0.59414,0.74698,0.7079,0.35954,1.42958,2.29851,1.40422,1.91663,0.000515,0.000515,0.000515
77,1289.34,0.67845,1.20973,0.78065,1.16323,0.6207,0.65306,0.66245,0.34946,0.6401,0.67347,0.68027,0.34619,1.45742,2.40884,1.37686,1.97461,0.0004952,0.0004952,0.0004952
78,1304.39,0.67448,1.13125,0.76873,1.1614,0.55664,0.73469,0.66125,0.35526,0.57293,0.7551,0.68604,0.34267,1.46394,2.61182,1.32713,1.99629,0.0004754,0.0004754,0.0004754
79,1318.83,0.70856,1.33786,0.77631,1.18207,0.60018,0.73469,0.68664,0.3843,0.60338,0.73469,0.67417,0.35424,1.37457,2.48322,1.36487,1.88556,0.0004556,0.0004556,0.0004556
80,1332.83,0.69834,1.27278,0.74904,1.15079,0.5722,0.73469,0.6791,0.36896,0.53813,0.69388,0.6403,0.34067,1.37498,2.51021,1.40509,1.89621,0.0004358,0.0004358,0.0004358
81,1347.64,0.71106,1.17115,0.77455,1.18493,0.59644,0.72397,0.67107,0.34332,0.56248,0.68224,0.62419,0.33575,1.43971,2.51645,1.47316,1.93351,0.000416,0.000416,0.000416
82,1362.52,0.64872,1.11155,0.7466,1.12242,0.74886,0.67347,0.70753,0.40055,0.74886,0.67347,0.6873,0.39499,1.34987,2.36457,1.34121,1.81598,0.0003962,0.0003962,0.0003962
83,1376.87,0.6959,1.17674,0.7815,1.17735,0.70059,0.71634,0.7444,0.3938,0.76735,0.67347,0.73617,0.40579,1.41296,2.25778,1.40405,1.83093,0.0003764,0.0003764,0.0003764
84,1395.69,0.66175,1.13505,0.73627,1.12536,0.80321,0.73469,0.77765,0.40991,0.76641,0.69388,0.72588,0.39147,1.45586,2.35409,1.40682,1.85538,0.0003566,0.0003566,0.0003566
85,1416.66,0.63572,1.17574,0.7387,1.13682,0.77322,0.67347,0.75447,0.39597,0.69019,0.69388,0.69969,0.38171,1.47788,2.41126,1.36537,1.90962,0.0003368,0.0003368,0.0003368
86,1435.58,0.64966,1.16955,0.70343,1.11003,0.75423,0.71429,0.7216,0.3885,0.67804,0.64478,0.64845,0.36982,1.45535,2.37577,1.38411,1.92663,0.000317,0.000317,0.000317
87,1450.54,0.58205,1.08286,0.66703,1.07222,0.67646,0.73469,0.72648,0.40702,0.65767,0.71429,0.69995,0.37607,1.3685,2.28163,1.44951,1.87691,0.0002972,0.0002972,0.0002972
88,1465.01,0.58684,1.17222,0.66752,1.08608,0.61716,0.81633,0.73437,0.4176,0.57714,0.77551,0.6764,0.37711,1.37695,2.35607,1.42166,1.89295,0.0002774,0.0002774,0.0002774
89,1479.74,0.62303,1.2461,0.71509,1.12955,0.61802,0.79251,0.73497,0.41501,0.6023,0.77272,0.6867,0.37208,1.40404,2.42708,1.36272,1.91413,0.0002576,0.0002576,0.0002576
90,1493.45,0.63519,1.10238,0.74394,1.10991,0.64966,0.69388,0.71716,0.40147,0.64966,0.69388,0.69746,0.37159,1.46483,2.44403,1.36866,1.95772,0.0002378,0.0002378,0.0002378
91,1508.92,0.57226,1.1186,0.7727,1.09068,0.68965,0.69388,0.7475,0.39886,0.64908,0.65306,0.68126,0.3711,1.46817,2.38334,1.37037,1.96151,0.000218,0.000218,0.000218
92,1523.46,0.50257,0.96512,0.6368,1.04611,0.75475,0.65306,0.71847,0.37762,0.75525,0.55102,0.63984,0.36433,1.49961,2.363,1.39293,1.98087,0.0001982,0.0001982,0.0001982
93,1544.15,0.54229,1.05338,0.62452,1.04283,0.75526,0.62986,0.66414,0.34553,0.73079,0.60945,0.64646,0.36555,1.5484,2.37898,1.43232,2.05147,0.0001784,0.0001784,0.0001784
94,1559.95,0.52193,1.00782,0.63694,1.04658,0.73684,0.65306,0.70591,0.34688,0.68967,0.61224,0.6475,0.36408,1.57184,2.40496,1.4393,2.08682,0.0001586,0.0001586,0.0001586
95,1574.68,0.47502,1.06353,0.6172,1.02558,0.66794,0.73469,0.75674,0.40335,0.61866,0.67347,0.66472,0.38835,1.39357,2.44155,1.40901,1.88956,0.0001388,0.0001388,0.0001388
96,1589.11,0.49358,1.05406,0.64542,1.03172,0.65822,0.78616,0.76075,0.40166,0.62508,0.74862,0.7054,0.38115,1.3355,2.45924,1.36983,1.81771,0.000119,0.000119,0.000119
97,1602.81,0.46301,0.93131,0.57247,0.98841,0.6416,0.84034,0.76069,0.41116,0.62248,0.79592,0.7139,0.3949,1.30116,2.421,1.32256,1.77461,9.92e-05,9.92e-05,9.92e-05
98,1616.9,0.47775,0.9455,0.57372,1.00004,0.64727,0.78653,0.74493,0.42998,0.64727,0.78653,0.72988,0.40569,1.23826,2.30599,1.23272,1.73666,7.94e-05,7.94e-05,7.94e-05
99,1631.28,0.4486,0.96816,0.53737,0.97542,0.65494,0.81348,0.73966,0.43775,0.65494,0.81348,0.72759,0.41198,1.21943,2.29331,1.22057,1.72945,5.96e-05,5.96e-05,5.96e-05
100,1645.34,0.52423,0.97851,0.62238,1.07904,0.65015,0.81633,0.73524,0.43987,0.65015,0.81633,0.72504,0.41667,1.22857,2.29179,1.21011,1.74225,3.98e-05,3.98e-05,3.98e-05
